job_id,title_raw,our_family_code,our_sector,soc_code,soc_title,match_tier,matched_onet_title,job_zone
ab6392af-d97d-4319-89be-b8e8ce5bc0d4,"Wind Hub Technician - TX 15 (Big Lake, TX Area)",transmission_linework,energy,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
f90ce8d3-f4a4-41eb-8984-00ecb1405158,"Wind Hub Technician - TX 16 (Hereford, TX area)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
442d755f-0805-4645-a3ad-0c39ed77eeb0,"Wind Hub Technician - TX1 (Abilene, TX Area)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
767d6749-1957-41ae-a8b3-434a061f90e5,"Wind Hub Technician -TX 12 (Lubbock, TX)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
fa50429c-2961-478a-83a7-61a8b676810f,"Wind Hub Technician -TX 12 (Lubbock, TX)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
f7e06ead-6c9c-4896-8d6e-21a8007f15f7,"Wind Hub Technician (Criterion, Maryland)",transmission_linework,energy,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
e3ab63ed-3f7f-4556-b73c-476a85ccc80d,"Wind Hub Technician TX9 (Weinert,TX)",transmission_linework,energy,,,unmapped,,
926166ec-defd-44d0-a5f7-b61c70218eb0,"Wind Hub Technician- (Petersburg, NE)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
be021614-4c9f-4c2e-8b87-cff28a690128,"Wind Hub Technician- $7500 Sign-on Bonus - ND2 (Pollock, SD)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
3597b0bf-8594-4ceb-91bd-a973a283f208,"Wind Hub Technician- $7500 Sign-on Bonus - ND2 (Wishek, ND)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
5cea65d2-e262-4952-8d97-b8cffa57be87,"Wind Hub Technician- $7500 Sign-on Bonus- SD2 (Highmore, SD)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
956c8d70-3a53-40df-ae64-ddd26ee31f9e,"Wind Hub Technician- $7500 Sign-on Bonus- SD2 (Wessington, SD)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
